	name	latitude	longitude	scores	category	price	address	product	decoration	service
129014	Muse on the bund	31.24056	121.48792	45.0	酒吧	457.0	黄浦区北京东路99号益丰外滩源5楼	8.7	8.9	8.9
129936	LUNA BAR	31.241867	121.35976	35.0	酒吧	50.0	嘉定区金沙江路2890弄21号	6.9	7.2	7.2
130377	The Moment Bar	31.223934	121.44134	35.0	酒吧	55.0	静安区乌鲁木齐北路115号	7.0	7.4	7.4
130388	The Cape	31.239996	121.447136	40.0	酒吧	38.0	静安区江宁路861号102室	8.1	8.3	8.6
131135	上海衡山路十二号酒店Lobby Lounge灵动吧	31.20503	121.44643	30.0	酒吧	155.0	徐汇区衡山路12号豪华精选酒店1楼	6.4	7.1	6.7
131345	Sky100	31.178644	121.37289	35.0	酒吧	47.0	闵行区金汇路463弄金石广场28号D栋2楼	6.9	7.1	7.0
131510	Ms Chen's Restaurant & Bar	31.139885	121.1246	30.0	酒吧	90.0	青浦区外青松公路6666弄16号	6.7	7.1	6.9
132451	Tai wine	31.207897	121.46901	40.0	酒吧	111.0	卢湾区泰康路248弄田子坊38号	7.8	8.6	8.1
133350	Maya Club	31.211958	121.44945	35.0	酒吧	463.0	徐汇区淮海中路1329号云海大厦3楼	6.9	7.5	7.6
138667	I Am Here	30.926476	121.4708	35.0	酒吧	52.0	奉贤区奉贤运河北路96号	7.1	7.2	7.1
138970	Vino Tapas	31.218088	121.45196	45.0	酒吧	99.0	静安区富民路259号	8.2	9.0	8.7
139171	Jason's Bar	31.221039	121.46991	35.0	酒吧	76.0	卢湾区雁荡路6号	7.0	7.3	7.5
139349	Sorella Bar	31.191158	121.408806	35.0	酒吧	247.0	长宁区古羊路489号	7.2	7.5	7.8
139359	390 Shanghai	31.204132	121.42962	35.0	酒吧	63.0	长宁区番禺路390号	7.4	7.8	7.9
139452	Malabar 西班牙餐厅	31.229748	121.44222	45.0	酒吧	119.0	静安区武定路1081号	8.6	8.4	8.4
140117	Shanghai Sliders	31.21106	121.45848	40.0	酒吧	78.0	徐汇区永康路45号	7.7	7.9	8.0
140907	OhBar偶吧音乐餐厅	31.237146	121.47468	40.0	酒吧	102.0	黄浦区六合路158号1楼	7.9	7.9	8.0
140935	On Stage	31.1996	121.42398	35.0	酒吧	89.0	长宁区淮海西路570号红坊艺术文化社区A2	6.8	7.7	7.1
141428	CAS BAR	31.229715	121.442116	45.0	酒吧	117.0	静安区武定路1089号	8.3	9.0	8.6
145562	Y-in Lounge	31.22564	121.46572	40.0	酒吧	110.0	静安区大沽路392号	7.8	7.9	7.7
150664	Wine Connection Bar&Bistro	31.22237	121.44056	45.0	酒吧	111.0	静安区愚园路439号	8.5	8.6	8.9
150735	MOJITO HEAVEN	31.21364	121.435	40.0	酒吧	89.0	徐汇区昭化东路130号	8.3	7.6	7.9
151522	CIGAR JAZZ WINE	31.22037	121.47497	35.0	酒吧	123.0	卢湾区太仓路181弄新天地北里	7.0	7.8	7.4
151788	TERROIR	31.231092	121.44544	30.0	酒吧	121.0	静安区武定路	6.8	7.3	7.0
152226	Space Cafe&Bar	31.204617	121.41818	30.0	酒吧	75.0	长宁区凯旋路1140号2楼	6.7	7.2	6.8
153219	C'est Zhazha巧克力小酒馆	31.228065	121.52458	45.0	酒吧	70.0	浦东新区东方路796号96广场1楼9号门	8.8	8.6	8.5
153432	CD1酒吧	31.235344	121.453186	30.0	酒吧	208.0	静安区江宁路428号静安体育中心2楼	6.8	7.1	7.1
153698	V1 Club	31.217905	121.50705	30.0	酒吧	485.0	黄浦区外马路601号	6.7	7.3	6.9
154098	LOTUS RED	31.23078	121.49393	40.0	酒吧	187.0	黄浦区中山东二路外滩22号5楼	7.7	8.6	8.8
154270	The Retreat Cafe & Bar	31.199598	121.447426	30.0	酒吧	35.0	徐汇区高安路101号	6.8	6.9	7.0
154318	元YUAN	31.220636	121.45438	45.0	酒吧	124.0	静安区襄阳北路17-2号	8.4	8.6	8.5
154547	MT 1839	31.13536	121.36169	35.0	酒吧	100.0	闵行区七莘路1839号财富108广场5楼	7.2	7.9	7.8
155669	Kens Bar	31.202297	121.40797	40.0	酒吧	141.0	长宁区延安西路2088号嘉顿广场A-129	8.1	8.3	8.4
156505	Lab whisky&cocktail	31.229685	121.44207	50.0	酒吧	116.0	静安区武定路1093号	9.0	9.0	8.9
157311	Bingo Lounge Bar	31.19577	121.3988	35.0	酒吧	108.0	长宁区黄金城道728号	7.3	7.7	7.6
157379	玛雅微电影俱乐部	31.211958	121.44945	35.0	酒吧	462.0	卢湾区淮海中路1732号云海大厦3楼	7.4	7.6	7.9
157679	Arkham俱乐部	31.207659	121.448235	35.0	酒吧	93.0	徐汇区乌鲁木齐南路1号	7.0	7.5	7.4
158120	JZ Latino	31.227547	121.48801	40.0	酒吧	91.0	黄浦区河南南路159号豫园万丽大酒店22楼(近福佑路)	7.8	8.5	8.1
158528	THE SHED	31.234505	121.45017	40.0	酒吧	84.0	静安区陕西北路698号	7.7	7.9	7.8
158872	Revolution Cocktail	31.211065	121.45831	30.0	酒吧	52.0	徐汇区永康路58号	6.8	7.2	7.0
159621	堂绘酒吧	31.384737	121.25234	30.0	酒吧	66.0	嘉定区东下塘街51号	6.6	6.9	6.9
160164	Bar XYZ	31.22568	121.46609	35.0	酒吧	84.0	静安区大沽路384号	7.2	7.9	7.8
160542	Project Wine	31.22	121.45477	40.0	酒吧	114.0	静安区襄阳北路17号	7.8	8.6	8.0
160942	Shanghai Rose Bar	31.243374	121.48869	40.0	酒吧	99.0	黄浦区南苏州路76号	7.9	8.9	8.6
161676	POKERNUTS	31.181814	121.396805	45.0	酒吧	176.0	闵行区吴中路682号金虹桥广场C座103室	8.2	8.5	8.5
162737	RAT TAR ART BAR	31.222984	121.44706	40.0	酒吧	57.0	静安区南京西路1601号芮欧百货109室	7.4	9.0	8.2
163102	Iris Bar	31.225164	121.43628	30.0	酒吧	73.0	静安区万航渡路449号	6.7	7.0	7.0
163399	Friends酒吧	31.208702	121.46768	40.0	酒吧	53.0	卢湾区田子坊155弄25号	8.0	8.1	8.3
163440	汇吧	31.243624	121.50728	35.0	酒吧	121.0	浦东新区浦东南路111号文华东方酒店内	7.4	7.3	7.7
163618	Chair Club	31.162298	121.51352	35.0	酒吧	72.0	浦东新区东明路1778号	7.1	7.3	7.7
163777	In cafe cocktail	31.217937	121.45556	35.0	酒吧	49.0	卢湾区襄阳北路131弄4号	7.1	7.7	7.7
164431	菲比酒吧	31.041782	121.2113	30.0	酒吧	230.0	松江区新松江路1292号东明娱乐广场内	0.0	0.0	0.0
166266	单麦角	31.211174	121.42887	35.0	酒吧	70.0	长宁区延安西路1155号绿地豪生酒店1楼	7.0	7.2	7.4
168618	Magpie Cocktail Bar	31.20982	121.45536	35.0	酒吧	52.0	徐汇区永康路189号	7.5	7.6	7.8
168633	U CORNER BAR	31.244959	121.49083	30.0	酒吧	49.0	虹口区大名路62号	6.4	6.8	6.8
170814	斑马道艺术酒吧	31.02203	121.648026	35.0	酒吧	51.0	浦东新区新场镇新场大街375-379号	6.9	8.3	7.9
171947	Bar Fly	31.220798	121.45775	35.0	酒吧	76.0	卢湾区陕西南路35号6楼	6.9	7.3	7.2
172176	i Darts Club 飞镖酒吧	31.2051	121.44707	40.0	酒吧	159.0	徐汇区衡山路191号一楼	7.7	8.0	8.1
173459	The Public	31.21313	121.45707	45.0	酒吧	181.0	徐汇区襄阳南路174号2楼	8.3	8.6	8.5
174284	Mojo's (Oyster House)	31.222164	121.440254	40.0	酒吧	240.0	静安区愚园路441号	8.0	7.9	7.4
175093	Neigo	31.203384	121.44597	30.0	酒吧	215.0	徐汇区永嘉路701号	6.4	6.7	6.6
175165	Ayana制服酒吧	31.19175	121.40651	40.0	酒吧	258.0	长宁区古羊路300号-17	7.7	8.2	8.1
175366	Bar BANA	31.225723	121.46624	30.0	酒吧	64.0	静安区大沽路380号	6.7	7.1	7.0
177006	C-CLUB特色鸡尾酒	31.32233	121.44424	40.0	酒吧	20.0	宝山区共和新路5000弄绿地新都会广场仓酷6号601	8.4	7.8	8.3
177201	Avenue Joffre Bar	31.20596	121.45131	40.0	酒吧	129.0	徐汇区永嘉路570号永嘉庭5号楼1楼	8.1	8.5	8.4
177611	Spoon  Cozy Dining & Bar	31.22486	121.443	30.0	酒吧	155.0	静安区北京西路1780号	6.6	7.1	7.3
177999	锐壹堂清酒寒舍	31.2107	121.44368	35.0	酒吧	101.0	徐汇区复兴西路76号	7.2	7.8	7.8
178002	静安香格里拉大堂酒廊	31.22354	121.45104	35.0	酒吧	145.0	静安区延安中路1218号	7.1	7.6	7.3
178276	原庐红酒吧	31.21859	121.46608	35.0	酒吧	92.0	卢湾区思南路30号4楼	7.0	7.6	7.2
178399	Sugary咖啡厅酒吧	31.207808	121.47819	40.0	酒吧	54.0	卢湾区蒙自东路29号地下115-118室	8.2	8.1	8.2
178774	Wine+ 酒沃	31.208536	121.44797	35.0	酒吧	132.0	徐汇区乌鲁木齐南路甲1号2楼	6.8	7.2	7.2
178931	Tops	31.249699	121.5074	45.0	酒吧	187.0	虹口区海平路19号外滩悦榕庄顶楼露台（近公平路）	8.1	9.4	8.3
179088	扎啤工厂 Tap House	31.210726	121.457375	35.0	酒吧	82.0	徐汇区永康路74号	7.0	7.5	7.7
179561	Connoisseur	31.20771	121.4482	40.0	酒吧	115.0	徐汇区乌鲁木齐南路1号	8.2	8.3	8.5
180290	The 5 point	31.220284	121.41614	35.0	酒吧	65.0	长宁区凯旋路166号凯旋坊2号楼2楼A座	7.1	7.8	7.8
180840	Gold Wheel Restaurant&wine	31.22117	121.46011	50.0	酒吧	166.0	卢湾区茂名南路56号-2	9.0	8.8	9.1
180978	MYST Club	31.22089	121.44778	40.0	酒吧	573.0	静安区延安中路1123号	8.1	8.6	8.2
181318	TheTurn转转酒吧	31.230919	121.489075	35.0	酒吧	97.0	黄浦区金陵东路68号	6.9	7.7	7.2
182545	V-Gear	31.23844	121.48958	35.0	酒吧	155.0	卢湾区顺昌路2号	6.9	7.2	7.2
182584	玖合女仆	31.21994	121.40651	30.0	酒吧	230.0	长宁区万航渡路2453号	6.6	6.9	6.8
182683	Walkers	31.20758	121.4685	35.0	酒吧	64.0	卢湾区泰康路248弄12号	7.1	7.7	7.5
182994	CYK 主题简吧	31.21736	121.50719	30.0	酒吧	67.0	黄浦区外马路601号3号库113A	6.7	7.2	6.8
185281	wesTside	31.303692	121.50839	35.0	酒吧	107.0	杨浦区大学路246号	6.9	7.9	7.0
186541	Luna's Cafe	31.314941	121.38709	30.0	酒吧	40.0	宝山区聚丰园路68号	6.8	7.0	6.8
186575	GT制服演艺酒吧	31.177189	121.5297	30.0	酒吧	125.0	浦东新区成山路1708号	6.7	7.0	7.2
186720	RT JAZZ BAR	31.20686	121.38613	35.0	酒吧	116.0	长宁区仙霞路691号2楼	7.2	7.6	7.5
187388	Drunk Uncle	31.23439	121.45501	45.0	酒吧	106.0	静安区昌化路46号	8.6	8.7	8.4
187445	THE  BOULEVARD	31.21139	121.44974	45.0	酒吧	158.0	徐汇区宝庆路10号7楼	8.4	8.8	8.7
188951	Mr Shaker	31.21629	121.47342	35.0	酒吧	51.0	黄浦区淡水路229弄1号	7.5	7.6	7.9
189013	上海世博洲际酒店行政酒廊	31.198376	121.50501	35.0	酒吧	920.0	卢湾区上海市浦东新区雪野路1188号上海世博洲际酒店	6.9	7.3	7.3
189587	BLingBLing女仆吧	31.21801	121.40124	40.0	酒吧	232.0	长宁区长宁路2035号	7.8	7.9	7.7
190648	O-Gossip	31.20448	121.44499	30.0	酒吧	92.0	徐汇区高安路18弄6号	6.6	7.1	6.9
190733	Red Corner红角	31.22602	121.46729	30.0	酒吧	101.0	静安区成都北路117号	6.7	7.1	6.9
190786	Angels Kiss Club	31.20264	121.44516	35.0	酒吧	129.0	徐汇区衡山路307号	6.9	7.3	7.2
