	name	latitude	longitude	scores	category	price	address
7676	Oscar's Pub(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.210522	121.450195	40.0	酒吧	88.0	徐汇区复兴中路1377号
7682	The Glamour Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234455	121.49071	45.0	酒吧	142.0	黄浦区广东路20号外滩5号6楼
8085	和平饭店爵士吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.238956	121.48961	50.0	酒吧	206.0	黄浦区南京东路20号和平饭店1楼
8389	8 Balance(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.207457	121.40185	30.0	酒吧	150.0	长宁区古北路555弄虹桥华庭5号楼103室
8476	Eddy's Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.203533	121.43776	35.0	酒吧	45.0	徐汇区淮海中路1877号
8672	Sky Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.219954	121.45978	40.0	酒吧	108.0	卢湾区茂名南路58号花园饭店33楼
9289	SUS2 MUSIC BAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.206867	121.423706	35.0	酒吧	83.0	长宁区定西路685号
9346	Enoterra红酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.2147	121.44699	40.0	酒吧	120.0	徐汇区安福路55号
9587	佛罗伦琴酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.223156	121.5291	30.0	酒吧	69.0	浦东新区东方路899号浦东假日酒店1楼
9838	KOALA BAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.200092	121.42921	35.0	酒吧	47.0	长宁区淮海西路280号
9907	金洋咖啡吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.215944	121.45469	40.0	酒吧	52.0	徐汇区东湖路7号东湖宾馆内
9950	Yesterday Pub(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.221462	121.46497	30.0	酒吧	50.0	卢湾区长乐路
10729	田子坊弄堂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20797	121.46932	35.0	酒吧	80.0	卢湾区泰康路258号田子坊
